City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Isangel,VU,-19.55,169.2667,86.0,79,40,11.5,scattered clouds,2021-04-11 03:06:52
60,Yulara,AU,-25.2406,130.9889,73.4,33,0,17.27,clear sky,2021-04-11 03:11:50
61,Avera,US,33.194,-82.5271,62.6,96,1,5.75,clear sky,2021-04-11 03:11:50
62,Cidreira,BR,-30.1811,-50.2056,74.39,84,100,11.03,overcast clouds,2021-04-11 03:11:50
63,Albany,US,42.6001,-73.9662,64.0,63,100,2.8,overcast clouds,2021-04-11 03:05:55
64,Bluff,NZ,-46.6,168.3333,57.99,87,100,5.99,overcast clouds,2021-04-11 03:09:33
65,Mataura,NZ,-46.1927,168.8643,57.99,87,100,5.99,overcast clouds,2021-04-11 03:09:40
66,Ouallam,NE,14.3188,2.0866,82.44,9,42,10.8,scattered clouds,2021-04-11 03:09:25
67,Cape Town,ZA,-33.9258,18.4232,63.0,94,0,8.05,clear sky,2021-04-11 03:09:41
68,Atuona,PF,-9.8,-139.0333,80.87,74,59,17.31,broken clouds,2021-04-11 03:09:37
69,Shirokiy,RU,49.758,129.523,47.03,28,6,12.17,clear sky,2021-04-11 03:11:52
70,Provideniya,RU,64.3833,-173.3,3.67,87,100,23.11,light snow,2021-04-11 03:11:52
71,Bethel,US,41.3712,-73.414,57.0,91,100,3.22,overcast clouds,2021-04-11 03:11:53
72,Jamestown,US,42.097,-79.2353,61.0,72,1,20.71,clear sky,2021-04-11 03:09:24
73,Saskylakh,RU,71.9167,114.0833,11.25,72,100,12.21,overcast clouds,2021-04-11 03:09:34
74,Najran,SA,17.4924,44.1277,68.0,21,0,6.04,clear sky,2021-04-11 03:11:53
75,Meulaboh,ID,4.1363,96.1285,82.54,75,23,4.03,few clouds,2021-04-11 03:11:53
76,Lompoc,US,34.6391,-120.4579,51.8,76,27,11.5,scattered clouds,2021-04-11 03:09:23
77,Ravar,IR,31.2656,56.8055,73.02,22,96,5.77,overcast clouds,2021-04-11 03:11:54
78,Port Elizabeth,ZA,-33.918,25.5701,68.0,88,90,4.61,overcast clouds,2021-04-11 03:09:34
79,Hermanus,ZA,-34.4187,19.2345,57.0,95,100,3.4,overcast clouds,2021-04-11 03:11:54
80,Kavieng,PG,-2.5744,150.7967,81.43,81,64,11.18,moderate rain,2021-04-11 03:11:55
81,Banda Aceh,ID,5.5577,95.3222,84.51,69,25,5.7,scattered clouds,2021-04-11 03:11:55
82,East London,ZA,-33.0153,27.9116,64.4,100,90,2.3,overcast clouds,2021-04-11 03:11:55
83,Nantucket,US,41.2835,-70.0995,46.4,100,90,8.05,fog,2021-04-11 03:11:56
84,Longyearbyen,SJ,78.2186,15.6401,19.4,63,40,18.41,scattered clouds,2021-04-11 03:11:56
85,Arraial Do Cabo,BR,-22.9661,-42.0278,74.93,71,0,14.36,clear sky,2021-04-11 03:06:33
86,Tabas,IR,33.5959,56.9244,76.86,18,43,3.31,scattered clouds,2021-04-11 03:11:57
87,Saldanha,ZA,-33.0117,17.9442,57.2,88,100,9.69,overcast clouds,2021-04-11 03:11:57
88,Ancud,CL,-41.8697,-73.8203,54.0,100,90,14.97,light rain,2021-04-11 03:11:58
89,Qaanaaq,GL,77.484,-69.3632,12.9,91,100,7.0,light snow,2021-04-11 03:09:26
90,Kyzyl-Suu,KG,42.3414,78.0056,46.11,28,0,1.12,clear sky,2021-04-11 03:11:58
91,Butaritari,KI,3.0707,172.7902,82.15,75,100,9.62,overcast clouds,2021-04-11 03:11:58
