City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Tura,IN,84.2,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
433,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
450,Bambanglipuro,ID,86.38,broken clouds,-7.95,110.2833,Puri Brata
457,Vanimo,PG,86.68,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
458,Thinadhoo,MV,83.26,broken clouds,0.5333,72.9333,
459,Bilma,NE,80.06,clear sky,18.6853,12.9164,Expeditions Ténére voyages
460,Tevaitoa,PF,82.33,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
476,Biak,ID,83.79,broken clouds,-0.9131,122.8766,Penginapan Kim
486,Kimbe,PG,80.55,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
494,Payo,ID,87.22,scattered clouds,-3.7508,103.6372,Mess keban agung
504,Pozo Colorado,PY,82.76,scattered clouds,-23.4923,-58.7972,Hospedaje la Amistad
506,Gizo,SB,81.32,moderate rain,-8.103,156.8419,Imagination Island
510,Dharur,IN,86.41,broken clouds,18.8167,76.1167,Hotel Rajmahal
512,Lodwar,KE,84.6,overcast clouds,3.1191,35.5973,Turkwel Lodge
515,Hobyo,SO,81.54,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
522,Kalbay,PH,86.0,scattered clouds,5.7233,125.4986,
542,Sorong,ID,82.72,light rain,-0.8833,131.25,waigo splash hotel
551,Mabay,PH,86.0,scattered clouds,6.0577,124.4666,Bautista Lodging House
555,Nabire,ID,86.77,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
565,Vasai,IN,84.2,haze,19.47,72.8,Go Firne
566,Araouane,ML,81.63,clear sky,18.9048,-3.5265,
572,Fayaoue,NC,80.74,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
587,Lafia,NG,80.8,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
594,Phan Thiet,VN,88.84,broken clouds,10.9333,108.1,Hotel Saigon-PT
609,Plaridel,PH,90.0,scattered clouds,14.8872,120.8572,St. Agatha Resort
614,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
617,Am Timan,TD,80.89,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
627,Iztapa,GT,82.4,scattered clouds,13.9333,-90.7075,Villas de Puerto Viejo
647,Srandakan,ID,86.54,broken clouds,-7.9386,110.2506,Puri Brata
649,Bousso,TD,81.18,broken clouds,10.4795,16.7117,
651,Miri,MY,86.0,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
653,Kinablangan,PH,84.38,overcast clouds,7.6947,126.5503,Danny Moreno Property
655,Santa Rosa,PH,90.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
657,Anloga,GH,80.6,few clouds,5.7947,0.8973,Pin Drop Hotel
